# FULL owned pool: every B/R-identity, Brawl-legal card in the Arena collection (n=1506)
# Sorted by Kuja-corpus inclusion % (6,983 real Kuja decks), then EDHREC rank. incl=- means no corpus row.
# columns: NAME | COST | TYPE | incl | TAGS | oracle

Black Waltz No. 3 | {2}{B}{R} | Legendary Creature - Wizard | 90.5 | WIZ,CAST-TRIG,PING | Flying, deathtouch / Whenever you cast a noncreature spell, Black Waltz No. 3 deals 2 damage to each opponent.
Emergency Weld | {1}{B} | Sorcery | - |  | Return target artifact or creature card from your graveyard to your hand. Create a 1/1 colorless Soldier artifact creature token.
Retrofitted Transmogrant | {B} | Artifact Creature - Zombie | - |  | {3}{B}: Return this card from your graveyard to the battlefield tapped with two +1/+1 counters on it.
Raphael, Tough Turtle | {1}{R} | Legendary Creature - Mutant Ninja Turtle | - |  | Alliance — Whenever another creature you control enters, Raphael deals 1 damage to target opponent.
Doublecast | {R}{R} | Sorcery | - | COPY | When you next cast an instant or sorcery spell this turn, copy that spell. You may choose new targets for the copy.
Scorpion, Seething Striker | {3}{B} | Legendary Creature - Scorpion Human Villain | - |  | Deathtouch / At the beginning of your end step, if a creature died this turn, target creature you control connives.
Skateboard | {1} | Artifact - Equipment | - |  | When this Equipment enters, tap target permanent. / Equipped creature gets +1/+0 and has haste. / Equip {1}
Rattleback Apothecary | {2}{B} | Creature - Gorgon Warlock | - |  | Deathtouch / Whenever you commit a crime, target creature you control gains your choice of menace or lifelink until end of turn.
Foggy Swamp Visions | {1}{B}{B} | Sorcery | - | RMVL | As an additional cost to cast this spell, waterbend {X}. / Exile X target creature cards from graveyards. For each creature card exiled this way, create a token that's a copy of it. At the b
Fang, Roku's Companion | {3}{R}{R} | Legendary Creature - Dragon | - |  | Flying / Whenever Fang attacks, another target legendary creature you control gets +X/+0 until end of turn, where X is Fang's power. / When Fang dies, if he wasn't a Spirit, return this card
Raven of Fell Omens | {1}{B} | Creature - Bird | - |  | Flying / Whenever you commit a crime, each opponent loses 1 life and you gain 1 life. This ability triggers only once each turn.
H.E.R.B.I.E. Scout Unit | {4} | Artifact Creature - Robot Scout | - |  | Flying / When this creature enters, draw a card, then you may put a land card from your hand onto the battlefield tapped.
Anoint with Affliction | {1}{B} | Instant | - | RMVL | Exile target creature if it has mana value 3 or less. / Corrupted — Exile that creature instead if its controller has three or more poison counters.
Byway Barterer | {2}{R} | Creature - Raccoon Rogue | - |  | Menace / Whenever you expend 4, you may discard your hand. If you do, draw two cards.
Seize Opportunity | {2}{R} | Instant | - |  | Choose one — / • Exile the top two cards of your library. Until the end of your next turn, you may play those cards. / • Up to two target creatures each get +2/+1 until end of turn.
Hobgoblin, Mantled Marauder | {1}{R} | Legendary Creature - Goblin Human Villain | - |  | Flying, haste / Whenever you discard a card, Hobgoblin gets +2/+0 until end of turn.
Tombstone, Career Criminal | {2}{B} | Legendary Creature - Human Villain | - | CHEAPER | When Tombstone enters, return target Villain card from your graveyard to your hand. / Villain spells you cast cost {1} less to cast.
Daring Discovery | {4}{R} | Sorcery | - |  | Up to three target creatures can't block this turn. / Discover 4.
Hollow Marauder | {6}{B} | Creature - Specter Rogue | - | RMVL | This spell costs {1} less to cast for each creature card in your graveyard. / Flying / When this creature enters, any number of target opponents each discard a card. For each of those oppone
Ty Lee, Artful Acrobat | {2}{R} | Legendary Creature - Human Performer | - |  | Prowess / Whenever Ty Lee attacks, you may pay {1}. When you do, target creature can't block this turn.
Vindictive Warden | {2}{B/R} | Creature - Human Soldier | - | PING | Menace / Firebending 1 / {3}: This creature deals 1 damage to each opponent.
Potioner's Trove | {3} | Artifact | - |  | {T}: Add one mana of any color. / {T}: You gain 2 life. Activate only if you've cast an instant or sorcery spell this turn.
Joo Dee, One of Many | {1}{B} | Creature - Human Advisor | - |  | {B}, {T}: Surveil 1. Create a token that's a copy of this creature, then sacrifice an artifact or creature. Activate only as a sorcery.
Desperate Measures | {B} | Instant | - |  | Target creature gets +1/-1 until end of turn. When it dies under your control this turn, draw two cards.
Innocuous Rat | {1}{B} | Creature - Rat | - |  | When this creature dies, manifest dread.
Case of the Shattered Pact | {2} | Enchantment - Case | - |  | When this Case enters, search your library for a basic land card, reveal it, put it into your hand, then shuffle. / To solve — There are five colors among permanents you control. / Solved — 
Brambleguard Captain | {3}{R} | Creature - Mouse Soldier | - |  | At the beginning of combat on your turn, target creature you control gets +X/+0 until end of turn, where X is this creature's power.
Fire Nation Occupation | {2}{B} | Enchantment | - | CAST-TRIG | When this enchantment enters, create a 2/2 red Soldier creature token with firebending 1. / Whenever you cast a spell during an opponent's turn, create a 2/2 red Soldier creature token with 
Venom's Hunger | {4}{B} | Sorcery | - | RMVL | This spell costs {2} less to cast if you control a Villain. / Destroy target creature. You gain 2 life.
Devouring Swarm | {1}{B}{B} | Creature - Insect | - |  | Flying / Sacrifice a creature: This creature gets +1/+1 until end of turn.
Campus Guide | {2} | Artifact Creature - Golem | - |  | When this creature enters, you may search your library for a basic land card, reveal it, then shuffle and put that card on top.
Embrace Oblivion | {B} | Sorcery | - | RMVL | As an additional cost to cast this spell, sacrifice an artifact or creature. / Destroy target creature or Spacecraft.
Eclipsed Boggart | {B/R}{B/R}{B/R} | Creature - Goblin Scout | - |  | When this creature enters, look at the top four cards of your library. You may reveal a Goblin, Swamp, or Mountain card from among them and put it into your hand. Put the rest on the bottom 
Moonstone, Harsh Mistress | {3}{B} | Legendary Creature - Human Doctor Villain | - |  | Flying / Whenever you discard a card, you may exile that card from your graveyard. If you do, until the end of your next turn, you may play that card.
Pain 101 | {1}{B} | Instant | - |  | Until end of turn, target creature gains deathtouch and "When this creature dies, return it to the battlefield tapped under its owner's control."
Undercity Scrounger | {2}{B} | Artifact Creature - Human Rogue | - | TREAS | {T}: Create a Treasure token. Activate only if a creature died this turn.
Alien Symbiosis | {1}{B} | Enchantment - Aura | - |  | Enchant creature / Enchanted creature gets +1/+1, has menace, and is a Symbiote in addition to its other types. / You may cast this card from your graveyard by discarding a card in addition 
Fiery Annihilation | {2}{R} | Instant | - | RMVL | Fiery Annihilation deals 5 damage to target creature. Exile up to one target Equipment attached to that creature. If that creature would die this turn, exile it instead.
Dark Knight's Greatsword | {2}{B} | Artifact - Equipment | - |  | Job select / Equipped creature gets +3/+0 and is a Knight in addition to its other types. / Chaosbringer — Equip—Pay 3 life. Activate only once each turn.
Invasion of Mercadia // Kyren Flamewright | {1}{R} | Battle - Siege // Creature — Goblin Spellshaper | - |  | / When this Siege enters, you may discard a card. If you do, draw two cards. / // / {2}{R}, {T}, Discard a card: Create two 1/1 blue and red Elemental creature tokens. Creatures you control 
Gloom Ripper | {3}{B}{B} | Creature - Elf Assassin | - |  | When this creature enters, target creature you control gets +X/+0 until end of turn and up to one target creature an opponent controls gets -0/-X until end of turn, where X is the number of 
Pit Automaton | {2} | Artifact Creature - Construct | - | MANA | Defender / {T}: Add {C}{C}. Spend this mana only to activate abilities. / {2}, {T}: When you next activate an exhaust ability that isn't a mana ability this turn, copy it. You may choose new
Raphael's Technique | {4}{R}{R} | Instant | - |  | Sneak {2}{R} / Each player may discard their hand and draw seven cards.
Stonesplitter Bolt | {X}{R} | Instant | - | DMG2X | Bargain / Stonesplitter Bolt deals X damage to target creature or planeswalker. If this spell was bargained, it deals twice X damage to that permanent instead.
Cruel Truths | {3}{B} | Instant | - |  | Surveil 2, then draw two cards. You lose 2 life.
Scorching Dragonfire | {1}{R} | Instant | - | RMVL | Scorching Dragonfire deals 3 damage to target creature or planeswalker. If that creature or planeswalker would die this turn, exile it instead.
Devoted Duelist | {1}{R} | Creature - Goblin Monk | - | CAST-TRIG,PING | Haste / Flurry — Whenever you cast your second spell each turn, this creature deals 1 damage to each opponent.
Shinra Reinforcements | {2}{B} | Creature - Human Soldier | - |  | When this creature enters, mill three cards and you gain 3 life.
Bonebind Orator | {1}{B} | Creature - Squirrel Warlock Bard | - |  | {3}{B}, Exile this card from your graveyard: Return another target creature card from your graveyard to your hand.
Phantom Train | {3}{B} | Artifact - Vehicle | - |  | Trample / Sacrifice another artifact or creature: Put a +1/+1 counter on this Vehicle. It becomes a Spirit artifact creature in addition to its other types until end of turn.
Goblin Tunneler | {1}{R} | Creature - Goblin Rogue | - |  | {T}: Target creature with power 2 or less can't be blocked this turn.
Rover Blades | {3} | Artifact - Equipment Vehicle | - |  | Double strike / Equipped creature has double strike. / Equip {4} / Crew 2
Masked Meower | {R} | Creature - Spider Cat Hero | - | CANTRIP | Haste / Discard a card, Sacrifice this creature: Draw a card.
Venom, Evil Unleashed | {4}{B} | Legendary Creature - Symbiote Villain | - |  | Deathtouch / {2}{B}, Exile this card from your graveyard: Put two +1/+1 counters on target creature. It gains deathtouch until end of turn. Activate only as a sorcery.
Endrider Catalyzer | {1}{R} | Creature - Human Warrior | - | MANA | Start your engines! / Max speed — {T}: Add {R}{R}.
Choco-Comet | {X}{R}{R} | Sorcery | - | PING | Choco-Comet deals X damage to any target. / Create a 2/2 green Bird creature token with "Whenever a land you control enters, this token gets +1/+0 until end of turn."
Hawkeye's Bow | {R} | Artifact - Equipment | - | PING | Equipped creature gets +1/+0 and has reach. / Whenever equipped creature becomes tapped, it deals 1 damage to each opponent. / Equip {1}
Scrounge for Eternity | {2}{B} | Sorcery | - |  | As an additional cost to cast this spell, sacrifice an artifact or creature. / Return target creature or Spacecraft card with mana value 5 or less from your graveyard to the battlefield. The
Drill Too Deep | {1}{R} | Instant | - | RMVL | Choose one — / • Put five charge counters on target Spacecraft or Planet you control. / • Destroy target artifact.
Fire Nation Cadets | {R} | Creature - Human Soldier | - |  | This creature has firebending 2 as long as there's a Lesson card in your graveyard. / {2}: This creature gets +1/+0 until end of turn.
Hymn of the Faller | {1}{B} | Sorcery | - | CANTRIP | Surveil 1, then you draw a card and lose 1 life. / Void — If a nonland permanent left the battlefield this turn or a spell was warped this turn, draw another card.
Sporogenic Infection | {1}{B} | Enchantment - Aura | - |  | Enchant creature / When this Aura enters, target player sacrifices a creature of their choice other than enchanted creature. / When enchanted creature is dealt damage, destroy it.
HULK SMASH! | {1}{R} | Instant | - | RMVL | Teamwork 4 / Choose one. If this spell was cast using teamwork, choose both instead. / • Destroy target noncreature artifact. / • Target creature you control deals damage equal to its power 
Vayne's Treachery | {1}{B} | Instant | - |  | Kicker—Sacrifice an artifact or creature. / Target creature gets -2/-2 until end of turn. If this spell was kicked, that creature gets -6/-6 until end of turn instead.
Cruel Administrator | {3}{B}{R} | Creature - Human Soldier | - |  | Raid — This creature enters with a +1/+1 counter on it if you attacked this turn. / Whenever this creature attacks, create a 2/2 red Soldier creature token with firebending 1.
Steampath Charger | {1}{R} | Creature - Lizard Warlock | - | PING | Offspring {2} / When this creature dies, it deals 1 damage to target player.
Crow of Dark Tidings | {2}{B} | Creature - Zombie Bird | - |  | Flying / When this creature enters or dies, mill two cards.
Gutless Plunderer | {2}{B} | Creature - Skeleton Pirate | - |  | Deathtouch / Raid — When this creature enters, if you attacked this turn, look at the top three cards of your library. You may put one of those cards back on top of your library. Put the res
Tonberry | {B} | Creature - Salamander Horror | - |  | This creature enters tapped with a stun counter on it. / Chef's Knife — During your turn, this creature has first strike and deathtouch.
Rescue from the Underworld | {4}{B} | Instant | - |  | As an additional cost to cast this spell, sacrifice a creature. / Choose target creature card in your graveyard. Return that card and the sacrificed card to the battlefield under your contro
Simian Sling | {R} | Artifact Creature - Equipment Monkey | - |  | Equipped creature gets +1/+1. / Whenever this creature or equipped creature becomes blocked, it deals 1 damage to defending player. / Reconfigure {2}
Reckless Blaze | {3}{R}{R} | Sorcery - Lesson | - | RMVL | Reckless Blaze deals 5 damage to each creature. Whenever a creature you control dealt damage this way dies this turn, add {R}.
Lunatic Pandora | {1} | Legendary Artifact | - | RMVL | {2}, {T}: Surveil 1. / {6}, {T}, Sacrifice Lunatic Pandora: Destroy target nonland permanent.
Kellan, Planar Trailblazer | {R} | Legendary Creature - Human Faerie Scout | - |  | {1}{R}: If Kellan is a Scout, it becomes a Human Faerie Detective and gains "Whenever Kellan deals combat damage to a player, exile the top card of your library. You may play that card this 
Voldaren Thrillseeker | {2}{R} | Creature - Vampire Warrior | - |  | Backup 2 / {1}, Sacrifice this creature: It deals damage equal to its power to any target.
Gristle Glutton | {1}{R} | Creature - Goblin Scout | - | CANTRIP | {T}, Blight 1: Discard a card. If you do, draw a card.
Common Crook | {1}{B} | Creature - Human Rogue Villain | - | TREAS | When this creature dies, create a Treasure token.
Bad Deal | {4}{B}{B} | Sorcery | - |  | You draw two cards and each opponent discards two cards. Each player loses 2 life.
Underfoot Underdogs | {2}{R} | Creature - Goblin Warrior | - |  | When this creature enters, create a 1/1 red Goblin creature token. / {1}, {T}: Target creature you control with power 2 or less can't be blocked this turn.
Kyoshi Battle Fan | {2} | Artifact - Equipment | - |  | When this Equipment enters, create a 1/1 white Ally creature token, then attach this Equipment to it. / Equipped creature gets +1/+0. / Equip {2}
Masterful Flourish | {B} | Instant | - |  | Target creature you control gets +1/+0 and gains indestructible until end of turn.
Twin Bolt | {1}{R} | Instant | - |  | Twin Bolt deals 2 damage divided as you choose among one or two targets.
Seymour Flux | {4}{B} | Legendary Creature - Spirit Avatar | - |  | At the beginning of your upkeep, you may pay 1 life. If you do, draw a card and put a +1/+1 counter on Seymour Flux.
Grub's Command | {3}{B}{R} | Kindred Sorcery - Goblin | - | RMVL | Choose two — / • Create a token that's a copy of target Goblin you control. / • Creatures target player controls get +1/+1 and gain haste until end of turn. / • Destroy target artifact or cr
Reno and Rude | {1}{B} | Legendary Creature - Human Assassin | - |  | Menace / Whenever Reno and Rude deals combat damage to a player, exile the top card of that player's library. Then you may sacrifice another creature or artifact. If you do, you may play the
Felonious Rage | {R} | Instant | - |  | Target creature you control gets +2/+0 and gains haste until end of turn. When that creature dies this turn, create a 2/2 white and blue Detective creature token.
Zuko, Conflicted | {B}{R} | Legendary Creature - Human Rogue | - | MANA,CANTRIP | At the beginning of your first main phase, choose one that hasn't been chosen and you lose 2 life — / • Draw a card. / • Put a +1/+1 counter on Zuko. / • Add {R}. / • Exile Zuko, then return
Giantfall | {1}{R} | Instant | - | RMVL | Choose one — / • Target creature you control deals damage equal to its power to target creature an opponent controls. / • Destroy target artifact.
Electro's Bolt | {2}{R} | Sorcery | - | RMVL | Electro's Bolt deals 4 damage to target creature. / Mayhem {1}{R}
Northampton Farm |  | Land | - | LAND,RMVL | {T}: Add {C}. / {1}, {T}: Exile target creature you own. / {2}, {T}, Sacrifice this land: Return a creature card exiled with this land to the battlefield under your control. Return each othe
Boulderborn Dragon | {5} | Artifact Creature - Dragon | - |  | Flying, vigilance / Whenever this creature attacks, surveil 1.
Expanded Anatomy | {3} | Sorcery - Lesson | - |  | Put two +1/+1 counters on target creature. It gains vigilance until end of turn.
Mirran Banesplitter | {R} | Artifact - Equipment | - |  | Flash / When this Equipment enters, attach it to target creature you control. / Equipped creature gets +2/+0. / Equip {3}
Wurmwall Sweeper | {2} | Artifact - Spacecraft | - |  | When this Spacecraft enters, surveil 2. / Station / 4+ | Flying
Boneclub Berserker | {3}{R} | Creature - Goblin Berserker | - |  | This creature gets +2/+0 for each other Goblin you control.
Dueling Rapier | {R} | Artifact - Equipment | - |  | Flash / When this Equipment enters, attach it to target creature you control. / Equipped creature gets +2/+0. / Equip {4}
Rabid Attack | {1}{B} | Instant | - | CANTRIP | Until end of turn, any number of target creatures you control each get +1/+0 and gain "When this creature dies, draw a card."
Shriek, Treblemaker | {2}{B/R} | Legendary Creature - Mutant Villain | - |  | At the beginning of your first main phase, you may discard a card. When you do, target creature can't block this turn. / Sonic Blast — Whenever a creature an opponent controls dies, Shriek d
Push the Limit | {5}{R}{R} | Sorcery | - |  | Return all Mount and Vehicle cards from your graveyard to the battlefield. Sacrifice them at the beginning of the next end step. / Vehicles you control become artifact creatures until end of
Cindering Cutthroat | {2}{B/R} | Creature - Lizard Assassin | - |  | This creature enters with a +1/+1 counter on it if an opponent lost life this turn. / {1}{B/R}: This creature gains menace until end of turn.
Lost in Memories | {1}{R} | Enchantment - Aura | - |  | Flash / Enchant creature you control / Enchanted creature gets +1/+1 and has "Whenever this creature deals combat damage to a player, target instant or sorcery card in your graveyard gains f
Dai Li Indoctrination | {1}{B} | Sorcery - Lesson | - |  | Choose one — / • Target opponent reveals their hand. You choose a nonland permanent card from it. That player discards that card. / • Earthbend 2.
Call the Mountain Chocobo | {3}{R} | Sorcery | - |  | Search your library for a Mountain card, reveal it, put it into your hand, then shuffle. Create a 2/2 green Bird creature token with "Whenever a land you control enters, this token gets +1/+
Cost of Brilliance | {2}{B} | Sorcery | - |  | Target player draws two cards and loses 2 life. Put a +1/+1 counter on up to one target creature.
The Final Days | {2}{B}{B} | Sorcery | - |  | Create two tapped 2/2 black Horror creature tokens. If this spell was cast from a graveyard, instead create X of those tokens, where X is the number of creature cards in your graveyard. / Fl
Perigee Beckoner | {4}{B} | Creature - Horror | - |  | When this creature enters, until end of turn, another target creature you control gets +2/+0 and gains "When this creature dies, return it to the battlefield tapped under its owner's control
Cut Propulsion | {2}{R} | Instant | - | DMG2X | Target creature deals damage to itself equal to its power. If that creature has flying, it deals twice that much damage to itself instead.
Poison the Waters | {1}{B} | Sorcery | - |  | Choose one — / • All creatures get -1/-1 until end of turn. / • Target player reveals their hand. You choose an artifact or creature card from it. That player discards that card.
Jet's Brainwashing | {R} | Sorcery | - |  | Kicker {3} / Target creature can't block this turn. If this spell was kicked, gain control of that creature until end of turn, untap it, and it gains haste until end of turn. / Create a Clue
Mai, Jaded Edge | {1}{R} | Legendary Creature - Human Noble | - |  | Prowess / Exhaust — {3}: Put a double strike counter on Mai.
Tragic Trajectory | {B} | Sorcery | - |  | Target creature gets -2/-2 until end of turn. / Void — That creature gets -10/-10 until end of turn instead if a nonland permanent left the battlefield this turn or a spell was warped this t
Boiling Rock Rioter | {2}{B} | Creature - Human Rogue Ally | - | RMVL | Firebending 1 / Tap an untapped Ally you control: Exile target card from a graveyard. / Whenever this creature attacks, you may cast an Ally spell from among cards you own exiled with this c
Hard-Won Jitte | {1}{R} | Artifact - Equipment | - |  | Equipped creature has double strike. / Equip {2}
Draconautics Engineer | {1}{R} | Creature - Goblin Artificer | - |  | Exhaust — {R}: Other creatures you control gain haste until end of turn. Put a +1/+1 counter on this creature. / Exhaust — {3}{R}: Create a 4/4 red Dinosaur Dragon creature token with flying
Callous Sell-Sword // Burn Together | {1}{B} // {R} | Creature - Human Soldier // Sorcery — Adventure | - | RMVL | This creature enters with a +1/+1 counter on it for each creature that died under your control this turn. / // / Target creature you control deals damage equal to its power to any other targ
Nightmare Sower | {3}{B} | Creature - Faerie Assassin | - | CAST-TRIG | Flying, lifelink / Whenever you cast a spell during an opponent's turn, put a -1/-1 counter on up to one target creature.
Grasping Shadows // Shadows' Lair | {3}{B} | Enchantment // Land - Cave | - | LAND | Whenever a creature you control attacks alone, it gains deathtouch and lifelink until end of turn. Put a dread counter on this enchantment. Then if there are three or more dread counters on 
Iron-Shield Elf | {1}{B} | Creature - Elf Warrior | - |  | Discard a card: This creature gains indestructible until end of turn. Tap it.
Chitin Gravestalker | {5}{B} | Creature - Insect Warrior | - |  | This spell costs {1} less to cast for each artifact and/or creature card in your graveyard. / Cycling {2}
Inkrise Infiltrator | {1}{B} | Creature - Human Ninja | - |  | Flying / {3}{B}: This creature gets +2/+2 until end of turn.
Swarm, Being of Bees | {2}{B} | Legendary Creature - Insect Villain | - |  | Flash / Flying / Mayhem {B}
Interceptor Mechan | {2}{B}{R} | Artifact Creature - Robot | - |  | Flying / When this creature enters, return target artifact or creature card from your graveyard to your hand. / Void — At the beginning of your end step, if a nonland permanent left the batt
Oroku Saki, Shredder Rising | {2}{B} | Legendary Creature - Human Ninja | - |  | Sneak {1}{B} / Whenever Oroku Saki deals combat damage to a player, you draw a card and lose 1 life.
Dynamite Diver | {R} | Creature - Goblin Pilot | - | PING | This creature saddles Mounts and crews Vehicles as though its power were 2 greater. / When this creature dies, it deals 1 damage to any target.
Mascot Exhibition | {7} | Sorcery - Lesson | - |  | Create a 2/1 white and black Inkling creature token with flying, a 3/2 red and white Spirit creature token, and a 4/4 blue and red Elemental creature token.
Bile-Vial Boggart | {B} | Creature - Goblin Assassin | - |  | When this creature dies, put a -1/-1 counter on up to one target creature.
Skycrash | {1}{R} | Instant | - | RMVL | Destroy target artifact. / Cycling {R}
Kindle the Inner Flame | {3}{R} | Kindred Sorcery - Elemental | - |  | Create a token that's a copy of target creature you control, except it has haste and "At the beginning of the end step, sacrifice this token." / Flashback—{1}{R}, Behold three Elementals.
Hour of Victory | {2}{B} | Enchantment | - |  | Start your engines! / When this enchantment enters, create a 2/2 black Zombie creature token. / Max speed — {1}{B}, Sacrifice this enchantment: Search your library for a card, put it into yo
Fell Gravship | {2}{B} | Artifact - Spacecraft | - |  | When this Spacecraft enters, mill three cards, then return a creature or Spacecraft card from your graveyard to your hand. / Station / 8+ | Flying, lifelink
Molten Exhale | {1}{R} | Sorcery | - | RMVL | You may cast this spell as though it had flash if you behold a Dragon as an additional cost to cast it. / Molten Exhale deals 4 damage to target creature or planeswalker.
Defossilize | {4}{B} | Sorcery | - |  | Return target creature card from your graveyard to the battlefield. That creature explores, then it explores again.
Molten Man, Inferno Incarnate | {2}{R} | Legendary Creature - Elemental Villain | - |  | When Molten Man enters, search your library for a basic Mountain card, put it onto the battlefield tapped, then shuffle. / Molten Man gets +1/+1 for each Mountain you control. / When Molten 
Tribute to Hunger | {2}{B} | Instant | - |  | Target opponent sacrifices a creature of their choice. You gain life equal to that creature's toughness.
Venomized Cat | {2}{B} | Creature - Symbiote Cat Villain | - |  | Deathtouch / When this creature enters, mill two cards.
Presumed Dead | {1}{B} | Instant | - |  | Until end of turn, target creature gets +2/+0 and gains "When this creature dies, return it to the battlefield under its owner's control and suspect it."
Monk's Fist | {2} | Artifact - Equipment | - |  | Job select / Equipped creature gets +1/+0 and is a Monk in addition to its other types. / Equip {2}
Vengeful Tracker | {1}{R} | Creature - Human Detective | - |  | Whenever an opponent sacrifices an artifact, this creature deals 2 damage to them.
Clamorous Ironclad | {3}{R} | Artifact - Vehicle | - |  | Menace / Crew 3 / Cycling {R}
Panicked Altisaur | {4}{R} | Creature - Dinosaur | - | PING | Reach / {T}: This creature deals 2 damage to each opponent.
Eerie Gravestone | {2} | Artifact | - | CANTRIP | When this artifact enters, draw a card. / {1}{B}, Sacrifice this artifact: Mill four cards. You may put a creature card from among them into your hand.
Item Shopkeep | {1}{R} | Creature - Human Citizen | - |  | Whenever you attack, target attacking equipped creature gains menace until end of turn.
Toxin Analysis | {B} | Instant | - |  | Target creature gains deathtouch and lifelink until end of turn. Investigate.
Appendage Amalgam | {2}{B} | Enchantment Creature - Horror | - |  | Flash / Whenever this creature attacks, surveil 1.
Ozai's Cruelty | {2}{B} | Sorcery - Lesson | - | PING | Ozai's Cruelty deals 2 damage to target player. That player discards two cards.
Dream Beavers | {B} | Creature - Beaver Nightmare | - |  | Flying / When this creature enters, each opponent loses 1 life and you gain 1 life. Scry 1.
Goblin Glasswright // Craft with Pride | {1}{R} // {R} | Creature - Goblin Sorcerer // Sorcery | - | TREAS | This creature enters prepared. / // / Create a Treasure token.
Overwhelming Surge | {2}{R} | Instant | - | RMVL | Choose one or both — / • Overwhelming Surge deals 3 damage to target creature. / • Destroy target noncreature artifact.
Glaive of the Guildpact | {2} | Artifact - Equipment | - |  | Equipped creature gets +1/+0 for each Gate you control and has vigilance and menace. / Equip {3}
Unlikely Aid | {1}{B} | Instant | - |  | Target creature gets +2/+0 and gains indestructible until end of turn.
Gates Ablaze | {2}{R} | Sorcery | - | RMVL | Gates Ablaze deals X damage to each creature, where X is the number of Gates you control.
Pumpkin Bombardment | {B/R} | Sorcery | - | RMVL | As an additional cost to cast this spell, discard a card or pay {2}. / Pumpkin Bombardment deals 3 damage to target creature.
Omni-Cheese Pizza | {2} | Artifact - Food | - | CANTRIP | When this artifact enters, draw a card. / {1}, {T}, Sacrifice this artifact: Add one mana of any color. / {2}, {T}, Sacrifice this artifact: You gain 3 life.
Storm of Memories | {2}{R}{R}{R} | Sorcery | - |  | Storm / Exile an instant or sorcery card with mana value 3 or less from your graveyard at random. You may cast it without paying its mana cost. If that spell would be put into a graveyard, e
Rubble Rouser | {2}{R} | Creature - Dwarf Sorcerer | - | MANA,PING | When this creature enters, you may discard a card. If you do, draw a card. / {T}, Exile a card from your graveyard: Add {R}. When you do, this creature deals 1 damage to each opponent.
Forgotten Monument |  | Land - Cave | - | LAND | {T}: Add {C}. / Other Caves you control have "{T}, Pay 1 life: Add one mana of any color."
Goblin Goliath | {4}{R}{R} | Creature - Goblin Mutant | - | DMG2X | When this creature enters, create a number of 1/1 red Goblin creature tokens equal to the number of opponents you have. / {3}{R}, {T}: If a source you control would deal damage to an opponen
Scarblade Scout | {1}{B} | Creature - Elf Scout | - |  | Lifelink / When this creature enters, mill two cards.
Nightmare | {5}{B} | Creature - Nightmare Horse | - |  | Flying / Nightmare's power and toughness are each equal to the number of Swamps you control.
Dawnhand Eulogist | {3}{B} | Creature - Elf Warlock | - |  | Menace / When this creature enters, mill three cards. Then if there is an Elf card in your graveyard, each opponent loses 2 life and you gain 2 life.
Shredder, Unrelenting | {4}{B} | Legendary Creature - Human Ninja | - |  | Sneak {3}{B} / Deathtouch / Whenever Shredder enters or attacks, another target creature you control gains deathtouch until end of turn.
Scorpion's Sting | {1}{B} | Instant | - |  | Target creature gets -3/-3 until end of turn.
Champion of the Weird | {3}{B} | Creature - Goblin Berserker | - |  | As an additional cost to cast this spell, behold a Goblin and exile it. / Pay 1 life, Blight 2: Target opponent blights 2. Activate only as a sorcery. / When this creature leaves the battlef
Beamsaw Prospector | {1}{B} | Creature - Human Artificer | - |  | When this creature dies, create a Lander token.
Ferocification | {2}{R} | Enchantment | - |  | At the beginning of combat on your turn, choose one — / • Target creature you control gets +2/+0 until end of turn. / • Target creature you control gains menace and haste until end of turn.
Hungry Ghoul | {1}{B} | Creature - Zombie | - |  | {1}, Sacrifice another creature: Put a +1/+1 counter on this creature.
Ticket Tortoise | {2} | Artifact Creature - Turtle | - | TREAS | Defender / When this creature enters, if an opponent controls more lands than you, you create a Treasure token.
Wreckage Wickerfolk | {1}{B} | Artifact Creature - Scarecrow | - |  | Flying / When this creature enters, surveil 2.
Magic Pot | {3} | Artifact Creature - Goblin Construct | - | RMVL,TREAS | When this creature dies, create a Treasure token. / {2}, {T}: Exile target card from a graveyard.
Sourbread Auntie | {2}{R}{R} | Creature - Goblin Warrior | - |  | When this creature enters, you may blight 2. If you do, create two 1/1 black and red Goblin creature tokens.
Rough Rhino Cavalry | {4}{R} | Creature - Human Mercenary | - |  | Firebending 2 / Exhaust — {8}: Put two +1/+1 counters on this creature. It gains trample until end of turn.
Magitek Scythe | {4} | Artifact - Equipment | - |  | A Test of Your Reflexes! — When this Equipment enters, you may attach it to target creature you control. If you do, that creature gains first strike until end of turn and must be blocked thi
Ruinous Rampage | {1}{R}{R} | Sorcery | - | PING | Choose one — / • Ruinous Rampage deals 3 damage to each opponent. / • Exile all artifacts with mana value 3 or less.
Fanatic of the Harrowing | {3}{B} | Creature - Human Cleric | - |  | When this creature enters, each player discards a card. If you discarded a card this way, draw a card.
Broodrage Mycoid | {3}{B} | Creature - Fungus | - |  | At the beginning of your end step, if you descended this turn, create a 1/1 black Fungus creature token with "This token can't block."
Summon Undead | {4}{B} | Sorcery | - |  | You may mill three cards. Then return a creature card from your graveyard to the battlefield.
The Cloning of Shredder | {4}{B}{B} | Enchantment - Saga | - | RMVL | / I — Exile target creature card from your graveyard. Create a token that's a copy of it, except it isn't legendary and is a Mutant in addition to its other types. / II, III — Create a token
