Meren of Clan Nel Toth — identity BG — 421 candidates (collection 719 names, reserved 156)
inc%  lift  mv  rank   $     mk  name | type | oracle
  -     -    3  10493    -       Willowdusk, Essence Seer | L.Cr — Dryad Druid | {1}, {T}: Choose another target creature. Put a number of +1/+1 counters on it equal to the amount of life you
  -     -    4   5854   0.3      Ancient Craving | Sorc | You draw three cards and you lose 3 life.
  -     -    4   7308   0.4      Bismuth Mindrender | Cr — Eldrazi | Devoid (This card has no color.) Menace Whenever this creature deals combat damage to a player, that player ex
  -     -    4   6314   0.3      Bloodtracker | Cr — Vampire Wizard | Flying {B}, Pay 2 life: Put a +1/+1 counter on this creature. When this creature leaves the battlefield, draw 
  -     -    4  13917   0.3      Essence Pulse | Sorc | You gain 2 life. Each creature gets -X/-X until end of turn, where X is the amount of life you gained this tur
  -     -    4  14026   0.1      Gluttonous Troll | Cr — Troll | Trample When this creature enters, create a number of Food tokens equal to the number of opponents you have. (
  -     -    4   2157   0.4      Greed | Ench | {B}, Pay 2 life: Draw a card.
  -     -    4  11356   0.4      Healing Technique | Sorc | Demonstrate (When you cast this spell, you may copy it. If you do, choose an opponent to also copy it. Players
  -     -    4  13215   0.4      2x Hostile Investigator | Cr — Ogre Rogue Detective | When this creature enters, target opponent discards a card. Whenever one or more players discard one or more c
  -     -    4  10968   0.3      Paradise Plume | Art | As this artifact enters, choose a color. Whenever a player casts a spell of the chosen color, you may gain 1 l
  -     -    4   2001   0.8      Sangromancer | Cr — Vampire Shaman | Flying Whenever a creature an opponent controls dies, you may gain 3 life. Whenever an opponent discards a car
  -     -    4  16843   0.3      Skorpekh Destroyer | Art Cr — Necron | Deathtouch Hyperphase Threshers — Whenever an artifact you control enters, this creature gains first strike un
  -     -    4   3947   0.4      Traxos, Scourge of Kroog | L.Art Cr — Construct | Trample Traxos enters tapped and doesn't untap during your untap step. Whenever you cast a historic spell, unt
  -     -    4  11393   0.2      Vicious Battlerager | Cr — Dwarf Barbarian | When this creature enters, you take the initiative. Spiked Retribution — Whenever this creature becomes blocke
  -     -    4   1127   4.3      Well of Lost Dreams | Art | Whenever you gain life, you may pay {X}, where X is less than or equal to the amount of life you gained. If yo
  -     -    4  15021   0.3      You Meet in a Tavern | Sorc | Choose one — • Form a Party — Look at the top five cards of your library. You may reveal any number of creatur
  -     -    5  14673   0.3      Ageless Entity | Cr — Elemental | Whenever you gain life, put that many +1/+1 counters on this creature.
  -     -    5    978  10.5      Alhammarret's Archive | L.Art | If you would gain life, you gain twice that much life instead. If you would draw a card except the first one y
  -     -    5   6920   0.3      Epicure of Blood | Cr — Vampire | Whenever you gain life, each opponent loses 1 life.
  -     -    5   8143   0.3      Luxurious Locomotive | Art — Vehicle | Whenever this Vehicle attacks, create a Treasure token for each creature that crewed it this turn. (They're ar
  -     -    5  10641   0.3      Marshland Bloodcaster | Cr — Vampire Warlock | Flying {1}{B}, {T}: Rather than pay the mana cost of the next spell you cast this turn, you may pay life equal
  -     -    5   4343   0.3      Ob Nixilis Reignited | L.Planeswalker — Nixilis | +1: You draw a card and you lose 1 life. −3: Destroy target creature. −8: Target opponent gets an emblem with 
  -     -    5  21087   0.1      Overzealous Muscle | Cr — Ogre Mercenary | Whenever you commit a crime during your turn, this creature gains indestructible until end of turn. (Targeting
  -     -    5   6697   7.1      Sapling of Colfenor | L.Cr — Treefolk Shaman | Indestructible Whenever Sapling of Colfenor attacks, reveal the top card of your library. If it's a creature c
  -     -    5  10750   0.7      Tivash, Gloom Summoner | L.Cr — Human Warlock | Lifelink At the beginning of your end step, if you gained life this turn, you may pay X life, where X is the a
  -     -    5  14693   0.4      Triarch Stalker | Art Cr — Necron | Targeting Relay — At the beginning of combat on your turn, choose an opponent. Creatures attacking the last ch
  -     -    5   1987   9.1      Venser's Journal | Art — Book | You have no maximum hand size. At the beginning of your upkeep, you gain 1 life for each card in your hand.
  -     -    5   3139   0.3      Yedora, Grave Gardener | L.Cr — Treefolk Druid | Whenever another nontoken creature you control dies, you may return it to the battlefield face down under its 
  -     -    6  16131   0.2      Cloudkill | Sorc | All creatures get -X/-X until end of turn, where X is the greatest mana value of a commander you own on the ba
  -     -    6   3666   1.0      Deadly Tempest | Sorc | Destroy all creatures. Each player loses life equal to the number of creatures they controlled that were destr
  -     -    6   9955   1.4      Ezzaroot Channeler | Cr — Treefolk Druid | Reach Creature spells you cast cost {X} less to cast, where X is the amount of life you gained this turn. {T}:
  -     -    6  14413   0.4      Hexmark Destroyer | Art Cr — Necron | Multi-threat Eliminator — This creature can't be blocked except by six or more creatures. Unearth {4}{B}{B} ({
  -     -    6   8558   0.3      Nissa's Renewal | Sorc | Search your library for up to three basic land cards, put them onto the battlefield tapped, then shuffle. You 
  -     -    6    990   0.4      Noxious Gearhulk | Art Cr — Construct | Menace When this creature enters, you may destroy another target creature. If a creature is destroyed this way
  -     -    6  19774   0.3      Revival Experiment | Sorc | For each permanent type, return up to one card of that type from your graveyard to the battlefield. You lose 3
  -     -    6  12227   0.4      Taste of Death | Sorc | Each player sacrifices three creatures of their choice. You create three Food tokens. (They're artifacts with 
  -     -    6  22981   0.2      Veteran Adventurer | Cr — Human | Veteran Adventurer is also a Cleric, Rogue, Warrior, and Wizard. This spell costs {1} less to cast for each cr
  -     -    7   5893   0.4      Defiant Bloodlord | Cr — Vampire | Flying Whenever you gain life, target opponent loses that much life.
  -     -    7   8264   0.9      Devourer of Destiny | Cr — Eldrazi | You may reveal this card from your opening hand. If you do, at the beginning of your first upkeep, look at the
  -     -    7  10899   1.2      Necron Monolith | Art — Vehicle | Flying, indestructible Eternity Gate — Whenever this Vehicle attacks, mill three cards. For each creature card
  -     -    7  20226   0.1      Sea Gate Colossus | Art Cr — Golem Warrior | This spell costs {1} less to cast for each creature in your party. (Your party consists of up to one each of C
  -     -    7   2169   0.3      Verdant Sun's Avatar | Cr — Dinosaur Avatar | Whenever this creature or another creature you control enters, you gain life equal to that creature's toughnes
  -     -    8  10618   0.9      Reiver Demon | Cr — Demon | Flying When this creature enters, if you cast it from your hand, destroy all nonartifact, nonblack creatures. 
  -     -    8   5521   6.2      Shard of the Nightbringer | Cr — C'tan | Flying Drain Life — When this creature enters, if you cast it, target opponent loses half their life, rounded 
  -     -    9  15531   0.3      Sproutback Trudge | Cr — Fungus Beast | This spell costs {X} less to cast, where X is the amount of life you gained this turn. Trample At the beginnin
