# Owned PAPER pool for The Cabbage Merchant (mono-G identity, Commander-legal). Format = paper Commander, multiplayer (4-player pod, 40 life).
# Sources: deck = the physical deck decks/paper/decks/the-cabbage-merchant.txt | side = the operator's spare pile decks/brawl/cabbage-merchant-sidedeck.txt | open = decks/paper/open-cards.txt (owned paper cards not sleeved in Meren/Imotekh/Tazri/Ramos). Cards sleeved in those four decks are NOT available.
# Corpus = 2001 real Cabbage Merchant paper Commander decks (VPS, 2026-09-14): inc% = share running the card, lift = commander-specific strength (>2 strong). Multiplayer data, so it applies directly.
# db:not_legal after a source = the card DB doubts Commander legality; check before using. Basic Forest is unlimited and not listed.
# inc% | lift | q | source | name | cost | cmc | type | rarity | oracle

95.7 | 3.10 | 1 | deck | Peregrin Took | {2}{G} | 3 | Legendary Creature — Halfling Citizen | uncommon | If one or more tokens would be created under your control, those tokens plus an additional Food token are created instead. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") Sacrifice three Foods: Draw a card.
0.0 | - | 1 | open | Tablet of Compleation | {2} | 2 | Artifact | rare | {T}: Put an oil counter on this artifact. {T}: Add {C}. Activate only if this artifact has two or more oil counters on it. {1}, {T}: Draw a card. Activate only if this artifact has five or more oil counters on it.
0.0 | - | 1 | side+open | Warg Tactics | {1}{G} | 2 | Instant | common | Choose one — • Destroy target creature with flying. • Put a +1/+1 counter on target creature you control. It gains trample and hexproof until end of turn. (It can't be the target of spells or abilities your opponents control.)
0.0 | - | 1 | open | Adaptive Automaton | {3} | 3 | Artifact Creature — Construct | rare | As this creature enters, choose a creature type. This creature is the chosen type in addition to its other types. Other creatures you control of the chosen type get +1/+1.
0.0 | - | 1 | open | Bandit's Haul | {3} | 3 | Artifact | uncommon | Whenever you commit a crime, put a loot counter on this artifact. This ability triggers only once each turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.) {T}: Add one mana of any color. {2}, {T}, Remove two loot counters from this artifact: Draw a card.
0.0 | - | 1 | open | Barkform Harvester | {3} | 3 | Artifact Creature — Shapeshifter | common | Changeling (This card is every creature type.) Reach {2}: Put target card from your graveyard on the bottom of your library.
0.0 | - | 1 | open | Bitterthorn, Nissa's Animus | {3} | 3 | Legendary Artifact — Equipment | rare | Living weapon (When this Equipment enters, create a 0/0 black Phyrexian Germ creature token, then attach this to it.) Equipped creature gets +1/+1. Whenever equipped creature attacks, you may search your library for a basic land card, put it onto the battlefield tapped, then shuffle. Equip {3}
0.0 | - | 1 | side+open | District Guide | {2}{G} | 3 | Creature — Elf Scout | uncommon | When this creature enters, you may search your library for a basic land card or Gate card, reveal it, put it into your hand, then shuffle.
0.0 | - | 1 | open | Druidic Satchel | {3} | 3 | Artifact | rare | {2}, {T}: Reveal the top card of your library. If it's a creature card, create a 1/1 green Saproling creature token. If it's a land card, put that card onto the battlefield under your control. If it's a noncreature, nonland card, you gain 2 life.
0.0 | - | 1 | side+open | Erinis, Gloom Stalker | {2}{G} | 3 | Legendary Creature — Halfling Ranger | uncommon | Deathtouch Whenever Erinis attacks, return target land card from your graveyard to the battlefield. Choose a Background (You can have a Background as a second commander.)
0.0 | - | 1 | side+open | Feral Appetite | {2}{G} | 3 | Enchantment | rare | Attacking Pests you control get +1/+0 and have deathtouch. {1}{G}: Exile target card from a graveyard. If a creature card is exiled this way, create a 1/1 black and green Pest creature token with "When this token dies, you gain 1 life."
0.0 | - | 1 | open | Firdoch Core | {3} | 3 | Kindred Artifact — Shapeshifter | common | Changeling (This card is every creature type.) {T}: Add one mana of any color. {4}: This artifact becomes a 4/4 artifact creature until end of turn.
0.0 | - | 1 | open | Gift of Paradise | {2}{G} | 3 | Enchantment — Aura | common | Enchant land When this Aura enters, you gain 3 life. Enchanted land has "{T}: Add two mana of any one color."
0.0 | - | 1 | open | Lotus Ring | {3} | 3 | Artifact — Equipment | mythic | Indestructible Equipped creature gets +3/+3 and has vigilance and "{T}, Sacrifice this creature: Add three mana of any one color." Equip {3}
0.0 | - | 1 | open | Ornery Tumblewagg | {2}{G} | 3 | Creature — Brushwagg Mount | rare | At the beginning of combat on your turn, put a +1/+1 counter on target creature. Whenever this creature attacks while saddled, double the number of +1/+1 counters on target creature. Saddle 2 (Tap any number of other creatures you control with total power 2 or more: This Mount becomes saddled until end of turn. Saddle only as a sorcery.)
0.0 | - | 1 | open | Potioner's Trove | {3} | 3 | Artifact | common | {T}: Add one mana of any color. {T}: You gain 2 life. Activate only if you've cast an instant or sorcery spell this turn.
0.0 | - | 1 | side+open | Realmwalker | {2}{G} | 3 | Creature — Shapeshifter | rare | Changeling (This card is every creature type.) As this creature enters, choose a creature type. You may look at the top card of your library any time. You may cast creature spells of the chosen type from the top of your library.
0.0 | - | 1 | side+open | Split the Spoils | {2}{G} | 3 | Sorcery | uncommon | Exile up to five target permanent cards from your graveyard and separate them into two piles. An opponent chooses one of those piles. Put that pile into your hand and the other into your graveyard. (Piles can be empty.)
0.0 | - | 1 | deck | The Cabbage Merchant | {2}{G} | 3 | Legendary Creature — Human Citizen | rare | Whenever an opponent casts a noncreature spell, create a Food token. (It's an artifact with "{2}, {T}, Sacrifice this token: You gain 3 life.") Whenever a creature deals combat damage to you, sacrifice a Food token. Tap two untapped Foods you control: Add one mana of any color.
0.0 | - | 1 | open | You Happen On a Glade | {2}{G} | 3 | Instant | uncommon | Choose one — • Journey On — Search your library for up to two basic land cards, reveal them, put them into your hand, then shuffle. • Make Camp — Return target permanent card from your graveyard to your hand.
0.0 | - | 1 | deck | Bloodspore Thrinax | {2}{G}{G} | 4 | Creature — Lizard | rare | Devour 1 (As this creature enters, you may sacrifice any number of creatures. It enters with that many +1/+1 counters on it.) Each other creature you control enters with an additional X +1/+1 counters on it, where X is the number of +1/+1 counters on this creature.
0.0 | - | 1 | open | Colossal Rattlewurm | {2}{G}{G} | 4 | Creature — Wurm | rare | Colossal Rattlewurm has flash as long as you control a Desert. Trample {1}{G}, Exile this card from your graveyard: Search your library for a Desert card, put it onto the battlefield tapped, then shuffle.
0.0 | - | 1 | open | Firemind Vessel | {4} | 4 | Artifact | common | This artifact enters tapped. {T}: Add two mana of different colors.
0.0 | - | 1 | side+open | Kozilek's Predator | {3}{G} | 4 | Creature — Eldrazi Drone | common | When this creature enters, create two 0/1 colorless Eldrazi Spawn creature tokens. They have "Sacrifice this token: Add {C}."
0.0 | - | 1 | side+open | Myconid Spore Tender | {3}{G} | 4 | Creature — Fungus | common | Infesting Spores — When this creature enters, destroy up to one target artifact or enchantment.
0.0 | - | 1 | open | Traxos, Scourge of Kroog | {4} | 4 | Legendary Artifact Creature — Construct | rare | Trample Traxos enters tapped and doesn't untap during your untap step. Whenever you cast a historic spell, untap Traxos. (Artifacts, legendaries, and Sagas are historic.)
0.0 | - | 1 | open | Luxurious Locomotive | {5} | 5 | Artifact — Vehicle | uncommon | Whenever this Vehicle attacks, create a Treasure token for each creature that crewed it this turn. (They're artifacts with "{T}, Sacrifice this token: Add one mana of any color.") Crew 1. Activate only once each turn. (Tap any number of creatures you control with total power 1 or more: This Vehicle becomes an artifact creature until end of turn.)
0.0 | - | 1 | side+open | Moldgraf Millipede | {4}{G} | 5 | Creature — Insect Horror | common | When this creature enters, mill three cards, then put a +1/+1 counter on this creature for each creature card in your graveyard. (To mill three cards, put the top three cards of your library into your graveyard.)
0.0 | - | 1 | side+open | Perennial Behemoth | {5} | 5 | Artifact Creature — Beast | rare | You may play lands from your graveyard. Unearth {G}{G} ({G}{G}: Return this card from your graveyard to the battlefield. It gains haste. Exile it at the beginning of the next end step or if it would leave the battlefield. Unearth only as a sorcery.)
0.0 | - | 1 | side+open | Predatory Impetus | {4}{G} | 5 | Enchantment — Aura | common | Enchant creature Enchanted creature gets +3/+3, must be blocked if able, and is goaded. (It attacks each combat if able and attacks a player other than you if able.)
0.0 | - | 1 | side+open | Ribtruss Roaster | {4}{G} | 5 | Creature — Troll Druid | rare | Devour 1 (As this creature enters, you may sacrifice any number of creatures. This creature enters with that many +1/+1 counters on it.) At the beginning of your end step, create a number of 1/1 black and green Pest creature tokens equal to the number of +1/+1 counters on this creature. They have "When this token dies, you gain 1 life."
0.0 | - | 1 | open | Venser's Journal | {5} | 5 | Artifact — Book | rare | You have no maximum hand size. At the beginning of your upkeep, you gain 1 life for each card in your hand.
0.0 | - | 1 | side+open | Wilderland Scrounger | {4}{G} | 5 | Creature — Wolf | uncommon | Ferocious — Whenever this creature attacks while you control a creature with power 4 or greater, put a +1/+1 counter on each creature you control.
0.0 | - | 1 | side+open | Baloth Woodcrasher | {4}{G}{G} | 6 | Creature — Beast | uncommon | Landfall — Whenever a land you control enters, this creature gets +4/+4 and gains trample until end of turn. (It can deal excess combat damage to the player or planeswalker it's attacking.)
0.0 | - | 1 | side+open | Cleanup Crew | {4}{G}{G} | 6 | Creature — Human Citizen | uncommon | When this creature enters, choose one — • Destroy target artifact. • Destroy target enchantment. • Exile target card from a graveyard. • You gain 4 life.
0.0 | - | 1 | side+open | Earthshaker Dreadmaw | {4}{G}{G} | 6 | Creature — Dinosaur | uncommon | Trample When this creature enters, draw a card for each other Dinosaur you control.
0.0 | - | 1 | side+open | Realm Seekers | {4}{G}{G} | 6 | Creature — Elf Scout | rare | This creature enters with X +1/+1 counters on it, where X is the total number of cards in all players' hands. {2}{G}, Remove a +1/+1 counter from this creature: Search your library for a land card, reveal it, put it into your hand, then shuffle.
0.0 | - | 1 | side+open | Slavering Branchsnapper | {4}{G}{G} | 6 | Creature — Lizard | common | Trample Forestcycling {2} ({2}, Discard this card: Search your library for a Forest card, reveal it, put it into your hand, then shuffle.)
0.0 | - | 1 | side+open | Topiary Panther | {4}{G}{G} | 6 | Creature — Plant Cat | common | Trample Basic landcycling {1}{G} ({1}{G}, Discard this card: Search your library for a basic land card, reveal it, put it into your hand, then shuffle.)
0.0 | - | 1 | open | Veteran Adventurer | {5}{G} | 6 | Creature — Human | uncommon | Veteran Adventurer is also a Cleric, Rogue, Warrior, and Wizard. This spell costs {1} less to cast for each creature in your party. Vigilance
0.0 | - | 1 | open | Devourer of Destiny | {5}{C}{C} | 7 | Creature — Eldrazi | rare | You may reveal this card from your opening hand. If you do, at the beginning of your first upkeep, look at the top four cards of your library. You may put one of those cards back on top of your library. Exile the rest. When you cast this spell, exile target permanent that's one or more colors.
0.0 | - | 1 | side+open | Gigantic Big Bear | {5}{G}{G} | 7 | Creature — Bear | rare | This spell can't be countered. Hexproof, haste
0.0 | - | 1 | side+open | Molimo, Maro-Sorcerer | {4}{G}{G}{G} | 7 | Legendary Creature — Elemental Sorcerer | uncommon | Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.) Molimo's power and toughness are each equal to the number of lands you control.
0.0 | - | 1 | open | Necron Monolith | {7} | 7 | Artifact — Vehicle | rare | Flying, indestructible Eternity Gate — Whenever this Vehicle attacks, mill three cards. For each creature card milled this way, create a 2/2 black Necron Warrior artifact creature token. Crew 4 (Tap any number of creatures you control with total power 4 or more: This Vehicle becomes an artifact creature until end of turn.)
0.0 | - | 1 | open | Sea Gate Colossus | {7} | 7 | Artifact Creature — Golem Warrior | common | This spell costs {1} less to cast for each creature in your party. (Your party consists of up to one each of Cleric, Rogue, Warrior, and Wizard.)
0.0 | - | 1 | open | Bygone Colossus | {9} | 9 | Artifact Creature — Robot Giant | uncommon | Warp {3} (You may cast this card from your hand for its warp cost. Exile this creature at the beginning of the next end step, then you may cast it from exile on a later turn.)
